index,date,shortcode,type,url,images,first_file,caption_excerpt,status,error
0,2026-05-22,DYoEuqdSZw2,post,https://www.instagram.com/aaw_sg/p/DYoEuqdSZw2/,1,D:\OneDrive\Codex\AAW-Website\exports\instagram-assets\images\2026\DYoEuqdSZw2_01_d902b703ee.jpg,"15 likes, 0 comments - aaw_sg，May 21, 2026 : ""AAW CIEM, elevated. ✨ A custom in-ear monitor that feels as refined as it sounds — icy blue sparkle, iridescent depth, translucent res",downloaded,
1,2026-04-11,DW_KBrQEsN3,post,https://www.instagram.com/aaw_sg/p/DW_KBrQEsN3/,3,D:\OneDrive\Codex\AAW-Website\exports\instagram-assets\images\2026\DW_KBrQEsN3_01_b5183e33bf.webp,"38 likes, 1 comments - aaw_sg，April 11, 2026 : ""Hong Kong, we’re rolling! 🇭🇰🎧 The revolution in hybrid sound has arrived at the Ocean Park Marriott. We’re officially showcasing ",downloaded,
2,2026-04-10,DW8xKtnkuQd,post,https://www.instagram.com/aaw_sg/p/DW8xKtnkuQd/,1,D:\OneDrive\Codex\AAW-Website\exports\instagram-assets\images\2026\DW8xKtnkuQd_01_e5fd925ac7.jpg,"26 likes, 0 comments - aaw_sg，April 10, 2026 : ""Audio artistry in its purest form. ✨🎧 Introducing a stunning custom pair of AAW Z06 monitors. This design perfectly captures the sy",downloaded,
3,2026-04-03,DWqWqiHklsO,post,https://www.instagram.com/aaw_sg/p/DWqWqiHklsO/,1,D:\OneDrive\Codex\AAW-Website\exports\instagram-assets\images\2026\DWqWqiHklsO_01_e260272aeb.jpg,"130 likes, 0 comments - aaw_sg，April 3, 2026 : ""Precision meets power. Under the hood of the AAW Z07 lies a meticulously engineered 7-driver system designed for flawless multi-driv",downloaded,
4,2026-03-31,DWjAu4LEsmU,post,https://www.instagram.com/aaw_sg/p/DWjAu4LEsmU/,1,D:\OneDrive\Codex\AAW-Website\exports\instagram-assets\images\2026\DWjAu4LEsmU_01_bad407e5e9.jpg,"50 likes, 2 comments - aaw_sg，March 31, 2026 : ""The Z07 is tuned for reference transparency paired with authoritative low-end presence. Anchored by a 10 mm titanium dynamic driver,",downloaded,
5,2026-03-30,DWgYIPbEjwE,post,https://www.instagram.com/aaw_sg/p/DWgYIPbEjwE/,5,D:\OneDrive\Codex\AAW-Website\exports\instagram-assets\images\2026\DWgYIPbEjwE_01_45cc3425ff.jpg,"52 likes, 0 comments - aaw_sg，March 30, 2026 : ""Absolutely obsessed with the details on these custom AAW and Z06 monitors. Whether it’s the elegant abalone inlays, the striking gol",downloaded,
6,2026-03-30,DWfwkdbkh4s,post,https://www.instagram.com/aaw_sg/p/DWfwkdbkh4s/,5,D:\OneDrive\Codex\AAW-Website\exports\instagram-assets\images\2026\DWfwkdbkh4s_01_690e379265.jpg,"106 likes, 2 comments - aaw_sg，March 29, 2026 : ""The AAW Z07 Hybrid In-Ear Monitor represents a groundbreaking acoustic redesign for hybrid IEMs. We are redefining the standard by ",downloaded,
7,2025-12-14,DSOtOUskst5,post,https://www.instagram.com/aaw_sg/p/DSOtOUskst5/,5,D:\OneDrive\Codex\AAW-Website\exports\instagram-assets\images\2025\DSOtOUskst5_01_21d881a26b.webp,"67 likes, 0 comments - aaw_sg，December 13, 2025 : ""Closer look at Z07's innovative adaptive fitment system. #aaw #advancedacousticwerkes #inearmonitors #customiem #custominears #ci",downloaded,
8,2025-12-14,DSOkpD9kq6h,post,https://www.instagram.com/aaw_sg/p/DSOkpD9kq6h/,5,D:\OneDrive\Codex\AAW-Website\exports\instagram-assets\images\2025\DSOkpD9kq6h_01_c9fa7c1632.webp,"28 likes, 0 comments - aaw_sg，December 13, 2025 : ""Black Malus and New Z07 on show here at Tokyo Potafes! #aaw #advancedacousticwerkes #inearmonitors #customiem #custominears #ciem",downloaded,
9,2025-11-24,DRbwGHlkheh,post,https://www.instagram.com/aaw_sg/p/DRbwGHlkheh/,5,D:\OneDrive\Codex\AAW-Website\exports\instagram-assets\images\2025\DRbwGHlkheh_01_e94630a304.webp,"36 likes, 0 comments - aaw_sg，November 24, 2025 : ""Finished ciem design showcase #aaw #advancedacousticwerkes #inearmonitors #customiem #custominears #ciems #ciem #iems #iem #inear",downloaded,
